id,lengths__sepal_squared,lengths__petal_squared
0,26.009999999999998,1.9599999999999997
1,24.010000000000005,1.9599999999999997
2,22.090000000000003,1.6900000000000002
3,21.159999999999997,2.25
4,25.0,1.9599999999999997
5,29.160000000000004,2.8899999999999997
6,21.159999999999997,1.9599999999999997
7,25.0,2.25
8,19.360000000000003,1.9599999999999997
9,24.010000000000005,2.25
10,29.160000000000004,2.25
11,23.04,2.5600000000000005
12,23.04,1.9599999999999997
13,18.49,1.2100000000000002
14,33.64,1.44
15,32.49,2.25
16,29.160000000000004,1.6900000000000002
17,26.009999999999998,1.9599999999999997
18,32.49,2.8899999999999997
19,26.009999999999998,2.25
20,29.160000000000004,2.8899999999999997
21,26.009999999999998,2.25
22,21.159999999999997,1.0
23,26.009999999999998,2.8899999999999997
24,23.04,3.61
25,25.0,2.5600000000000005
26,25.0,2.5600000000000005
27,27.040000000000003,2.25
28,27.040000000000003,1.9599999999999997
29,22.090000000000003,2.5600000000000005
30,23.04,2.5600000000000005
31,29.160000000000004,2.25
32,27.040000000000003,2.25
33,30.25,1.9599999999999997
34,24.010000000000005,2.25
35,25.0,1.44
36,30.25,1.6900000000000002
37,24.010000000000005,1.9599999999999997
38,19.360000000000003,1.6900000000000002
39,26.009999999999998,2.25
40,25.0,1.6900000000000002
41,20.25,1.6900000000000002
42,19.360000000000003,1.6900000000000002
43,25.0,2.5600000000000005
44,26.009999999999998,3.61
45,23.04,1.9599999999999997
46,26.009999999999998,2.5600000000000005
47,21.159999999999997,1.9599999999999997
48,28.09,2.25
49,25.0,1.9599999999999997
50,49.0,22.090000000000003
51,40.96000000000001,20.25
52,47.61000000000001,24.010000000000005
53,30.25,16.0
54,42.25,21.159999999999997
55,32.49,20.25
56,39.69,22.090000000000003
57,24.010000000000005,10.889999999999999
58,43.559999999999995,21.159999999999997
59,27.040000000000003,15.209999999999999
60,25.0,12.25
61,34.81,17.64
62,36.0,16.0
63,37.209999999999994,22.090000000000003
64,31.359999999999996,12.96
65,44.89,19.360000000000003
66,31.359999999999996,20.25
67,33.64,16.81
68,38.440000000000005,20.25
69,31.359999999999996,15.209999999999999
70,34.81,23.04
71,37.209999999999994,16.0
72,39.69,24.010000000000005
73,37.209999999999994,22.090000000000003
74,40.96000000000001,18.49
75,43.559999999999995,19.360000000000003
76,46.239999999999995,23.04
77,44.89,25.0
78,36.0,20.25
79,32.49,12.25
80,30.25,14.44
81,30.25,13.690000000000001
82,33.64,15.209999999999999
83,36.0,26.009999999999998
84,29.160000000000004,20.25
85,36.0,20.25
86,44.89,22.090000000000003
87,39.69,19.360000000000003
88,31.359999999999996,16.81
89,30.25,16.0
90,30.25,19.360000000000003
91,37.209999999999994,21.159999999999997
92,33.64,16.0
93,25.0,10.889999999999999
94,31.359999999999996,17.64
95,32.49,17.64
96,32.49,17.64
97,38.440000000000005,18.49
98,26.009999999999998,9.0
99,32.49,16.81
100,39.69,36.0
101,33.64,26.009999999999998
102,50.41,34.81
103,39.69,31.359999999999996
104,42.25,33.64
105,57.76,43.559999999999995
106,24.010000000000005,20.25
107,53.29,39.69
108,44.89,33.64
109,51.84,37.209999999999994
110,42.25,26.009999999999998
111,40.96000000000001,28.09
112,46.239999999999995,30.25
113,32.49,25.0
114,33.64,26.009999999999998
115,40.96000000000001,28.09
116,42.25,30.25
117,59.290000000000006,44.89
118,59.290000000000006,47.61000000000001
119,36.0,25.0
120,47.61000000000001,32.49
121,31.359999999999996,24.010000000000005
122,59.290000000000006,44.89
123,39.69,24.010000000000005
124,44.89,32.49
125,51.84,36.0
126,38.440000000000005,23.04
127,37.209999999999994,24.010000000000005
128,40.96000000000001,31.359999999999996
129,51.84,33.64
130,54.760000000000005,37.209999999999994
131,62.410000000000004,40.96000000000001
132,40.96000000000001,31.359999999999996
133,39.69,26.009999999999998
134,37.209999999999994,31.359999999999996
135,59.290000000000006,37.209999999999994
136,39.69,31.359999999999996
137,40.96000000000001,30.25
138,36.0,23.04
139,47.61000000000001,29.160000000000004
140,44.89,31.359999999999996
141,47.61000000000001,26.009999999999998
142,33.64,26.009999999999998
143,46.239999999999995,34.81
144,44.89,32.49
145,44.89,27.040000000000003
146,39.69,25.0
147,42.25,27.040000000000003
148,38.440000000000005,29.160000000000004
149,34.81,26.009999999999998
